timestamp,event_count,unique_rules,avg_severity,max_severity,unique_ips,hour,is_night,zscore,anomaly_score,is_anomaly
2026-04-22 11:00:00,5,5,4.8,12.0,5,11,0,-0.30241194683156913,1,False
2026-04-22 12:00:00,8,7,4.875,10.0,8,12,0,-0.13033242153010385,1,False
2026-04-22 13:00:00,12,7,5.5,12.0,9,13,0,0.09910694553851655,1,False
2026-04-22 14:00:00,13,9,7.461538461538462,12.0,11,14,0,0.15646678730567165,1,False
2026-04-22 15:00:00,12,7,5.333333333333333,7.0,11,15,0,0.09910694553851655,1,False
2026-04-22 16:00:00,10,6,5.6,12.0,9,16,0,-0.015612737995793649,1,False
2026-04-22 17:00:00,9,6,5.555555555555555,10.0,8,17,0,-0.07297257976294874,1,False
2026-04-22 18:00:00,11,7,6.454545454545454,12.0,7,18,0,0.04174710377136145,1,False
2026-04-22 19:00:00,4,3,5.0,7.0,3,19,0,-0.3597717885987242,1,False
2026-04-22 20:00:00,9,7,6.777777777777778,10.0,7,20,0,-0.07297257976294874,1,False
2026-04-22 21:00:00,1,1,3.0,3.0,1,21,0,-0.5318513139001896,1,False
2026-04-22 22:00:00,5,5,4.6,7.0,4,22,0,-0.30241194683156913,1,False
2026-04-22 23:00:00,3,3,5.333333333333333,10.0,3,23,1,-0.41713163036587936,1,False
2026-04-23 00:00:00,7,4,4.428571428571429,7.0,7,0,1,-0.18769226329725894,1,False
2026-04-23 01:00:00,1,1,3.0,3.0,1,1,1,-0.5318513139001896,1,False
2026-04-23 02:00:00,1,1,5.0,5.0,1,2,1,-0.5318513139001896,1,False
2026-04-23 03:00:00,4,4,5.0,7.0,4,3,1,-0.3597717885987242,1,False
2026-04-23 04:00:00,2,1,3.0,3.0,2,4,1,-0.47449147213303444,1,False
2026-04-23 05:00:00,0,0,0.0,0.0,0,5,1,-0.5892111556673446,-1,True
2026-04-23 06:00:00,4,2,6.25,10.0,4,6,0,-0.3597717885987242,1,False
2026-04-23 07:00:00,3,3,5.0,7.0,3,7,0,-0.41713163036587936,1,False
2026-04-23 08:00:00,4,4,4.5,7.0,4,8,0,-0.3597717885987242,1,False
2026-04-23 09:00:00,8,6,5.375,10.0,7,9,0,-0.13033242153010385,1,False
2026-04-23 10:00:00,8,6,5.125,12.0,7,10,0,-0.13033242153010385,1,False
2026-04-23 11:00:00,5,5,5.0,7.0,4,11,0,-0.30241194683156913,1,False
2026-04-23 12:00:00,12,6,4.333333333333333,7.0,8,12,0,0.09910694553851655,1,False
2026-04-23 13:00:00,13,8,4.615384615384615,10.0,12,13,0,0.15646678730567165,1,False
2026-04-23 14:00:00,10,7,5.4,10.0,10,14,0,-0.015612737995793649,1,False
2026-04-23 15:00:00,8,6,5.75,12.0,8,15,0,-0.13033242153010385,1,False
2026-04-23 16:00:00,17,9,6.176470588235294,12.0,14,16,0,0.38590615437429204,1,False
2026-04-23 17:00:00,19,9,4.894736842105263,10.0,14,17,0,0.5006258379086023,1,False
2026-04-23 18:00:00,10,6,5.2,10.0,8,18,0,-0.015612737995793649,1,False
2026-04-23 19:00:00,6,6,6.0,10.0,5,19,0,-0.24505210506441405,1,False
2026-04-23 20:00:00,4,3,4.0,5.0,4,20,0,-0.3597717885987242,1,False
2026-04-23 21:00:00,5,4,6.0,12.0,4,21,0,-0.30241194683156913,1,False
2026-04-23 22:00:00,6,5,5.0,7.0,5,22,0,-0.24505210506441405,1,False
2026-04-23 23:00:00,4,3,6.25,12.0,3,23,1,-0.3597717885987242,1,False
2026-04-24 00:00:00,9,8,5.222222222222222,10.0,7,0,1,-0.07297257976294874,1,False
2026-04-24 01:00:00,4,4,5.5,7.0,4,1,1,-0.3597717885987242,1,False
2026-04-24 02:00:00,0,0,0.0,0.0,0,2,1,-0.5892111556673446,-1,True
2026-04-24 03:00:00,4,3,6.25,12.0,4,3,1,-0.3597717885987242,1,False
2026-04-24 04:00:00,0,0,0.0,0.0,0,4,1,-0.5892111556673446,-1,True
2026-04-24 05:00:00,0,0,0.0,0.0,0,5,1,-0.5892111556673446,-1,True
2026-04-24 06:00:00,3,3,5.666666666666667,7.0,3,6,0,-0.41713163036587936,1,False
2026-04-24 07:00:00,3,1,6.666666666666667,10.0,3,7,0,-0.41713163036587936,1,False
2026-04-24 08:00:00,12,9,5.833333333333333,10.0,8,8,0,0.09910694553851655,1,False
2026-04-24 09:00:00,12,6,3.8333333333333335,5.0,8,9,0,0.09910694553851655,1,False
2026-04-24 10:00:00,9,6,4.555555555555555,7.0,7,10,0,-0.07297257976294874,1,False
2026-04-24 11:00:00,12,7,6.333333333333333,12.0,11,11,0,0.09910694553851655,1,False
2026-04-24 12:00:00,6,5,5.166666666666667,10.0,6,12,0,-0.24505210506441405,1,False
2026-04-24 13:00:00,18,9,6.722222222222222,12.0,15,13,0,0.4432659961414471,1,False
2026-04-24 14:00:00,14,7,4.928571428571429,10.0,11,14,0,0.21382662907282673,1,False
